region_2,lobe,region_1,hemi_1,region,Yeo
 SomMot_2 ,LT, SomMot_2 L ,L,7Networks_LH_SomMot_2,SM
 SomMot_2 ,RT, SomMot_2 R ,R,7Networks_RH_SomMot_2,SM
 SomMot_3 ,LT, SomMot_3 L ,L,7Networks_LH_SomMot_3,SM
 SomMot_3 ,RT, SomMot_3 R ,R,7Networks_RH_SomMot_3,SM
 SomMot_4 ,LC, SomMot_4 L ,L,7Networks_LH_SomMot_4,SM
 SomMot_4 ,RP, SomMot_4 R ,R,7Networks_RH_SomMot_4,SM
 SomMot_5 ,LP, SomMot_5 L ,L,7Networks_LH_SomMot_5,SM
 SomMot_5 ,RC, SomMot_5 R ,R,7Networks_RH_SomMot_5,SM
 SomMot_6 ,LC, SomMot_6 L ,L,7Networks_LH_SomMot_6,SM
 SomMot_6 ,RC, SomMot_6 R ,R,7Networks_RH_SomMot_6,SM
 SomMot_7 ,LC, SomMot_7 L ,L,7Networks_LH_SomMot_7,SM
 SomMot_7 ,RC, SomMot_7 R ,R,7Networks_RH_SomMot_7,SM
 SomMot_8 ,LF, SomMot_8 L ,L,7Networks_LH_SomMot_8,SM
 SomMot_8 ,RL, SomMot_8 R ,R,7Networks_RH_SomMot_8,SM
 SomMot_9 ,LC, SomMot_9 L ,L,7Networks_LH_SomMot_9,SM
 SomMot_9 ,RC, SomMot_9 R ,R,7Networks_RH_SomMot_9,SM
 Vis_1 ,LO, Vis_1 L ,L,7Networks_LH_Vis_1,Vis
 Vis_1 ,RT, Vis_1 R ,R,7Networks_RH_Vis_1,Vis
 Vis_10 ,LO, Vis_10 L ,L,7Networks_LH_Vis_10,Vis
 Vis_10 ,RO, Vis_10 R ,R,7Networks_RH_Vis_10,Vis
 Vis_11 ,LO, Vis_11 L ,L,7Networks_LH_Vis_11,Vis
 Vis_11 ,RO, Vis_11 R ,R,7Networks_RH_Vis_11,Vis
 Vis_12 ,LO, Vis_12 L ,L,7Networks_LH_Vis_12,Vis
 Vis_12 ,RO, Vis_12 R ,R,7Networks_RH_Vis_12,Vis
 Vis_13 ,LO, Vis_13 L ,L,7Networks_LH_Vis_13,Vis
 Vis_13 ,RO, Vis_13 R ,R,7Networks_RH_Vis_13,Vis
 Vis_14 ,LP, Vis_14 L ,L,7Networks_LH_Vis_14,Vis
 Vis_14 ,RP, Vis_14 R ,R,7Networks_RH_Vis_14,Vis
 Vis_15 ,RP, Vis_15 R ,R,7Networks_RH_Vis_15,Vis
 Vis_2 ,LO, Vis_2 L ,L,7Networks_LH_Vis_2,Vis
 Vis_2 ,RT, Vis_2 R ,R,7Networks_RH_Vis_2,Vis
 Vis_3 ,LO, Vis_3 L ,L,7Networks_LH_Vis_3,Vis
 Vis_3 ,RO, Vis_3 R ,R,7Networks_RH_Vis_3,Vis
 Vis_4 ,LO, Vis_4 L ,L,7Networks_LH_Vis_4,Vis
 Vis_4 ,RO, Vis_4 R ,R,7Networks_RH_Vis_4,Vis
 Vis_5 ,LO, Vis_5 L ,L,7Networks_LH_Vis_5,Vis
 Vis_5 ,RO, Vis_5 R ,R,7Networks_RH_Vis_5,Vis
 Vis_6 ,LO, Vis_6 L ,L,7Networks_LH_Vis_6,Vis
 Vis_6 ,RO, Vis_6 R ,R,7Networks_RH_Vis_6,Vis
 Vis_7 ,LO, Vis_7 L ,L,7Networks_LH_Vis_7,Vis
 Vis_7 ,RO, Vis_7 R ,R,7Networks_RH_Vis_7,Vis
 Vis_8 ,LO, Vis_8 L ,L,7Networks_LH_Vis_8,Vis
 Vis_8 ,RO, Vis_8 R ,R,7Networks_RH_Vis_8,Vis
 Vis_9 ,LO, Vis_9 L ,L,7Networks_LH_Vis_9,Vis
 Vis_9 ,RO, Vis_9 R ,R,7Networks_RH_Vis_9,Vis
