,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
G_oc-temp_med-Lingual L,0.9416551300849159,0.9613739159024357,0.8848013815201727,0.8413969939419494,0.09573504898798313,0.039155462524400456,0.08407845487455343,0.11071089208123046
G_oc-temp_med-Lingual R,0.9508509092387607,0.9553524265207924,0.881846226225574,0.8619436815570355,0.07619934705952473,0.051346816890847316,0.07981001173919815,0.0988545352638984
G_oc-temp_med-Parahip L,0.9684963785624593,0.9694491522293482,0.9419816019198828,0.9167331214852146,0.0452696812395221,0.027961843661296695,0.03826860312582903,0.05968473142573453
G_oc-temp_med-Parahip R,0.96794383668179,0.9742272247917223,0.9529899907870386,0.9216187649479018,0.045720728332452054,0.017138147257683926,0.03202802564839774,0.05458808741206099
G_occipital_middle L,0.9501233560527298,0.9541380766026318,0.8948632967667388,0.8677093375856116,0.074751440193637,0.05126947577867736,0.06469250742735025,0.09285934059198647
G_occipital_middle R,0.9477639232527705,0.9731775107025935,0.906501246460685,0.8710150653340422,0.07704533812564732,0.02460510041197912,0.06080713147634635,0.08698280289975832
G_occipital_sup L,0.9346138672636103,0.9521039518862845,0.9144427984320086,0.8366119089713819,0.10190697872363004,0.044577040761490834,0.06959958519001563,0.11102381211395156
G_occipital_sup R,0.942043322626485,0.955497866765303,0.9180029741864689,0.845906745039614,0.09102760954818245,0.03607749300040989,0.05792801769254803,0.09904529825300158
G_orbital L,0.9813214402492803,0.9825373295782107,0.9533782996746196,0.9472450478155167,0.025495532909237086,0.019083470028768416,0.057424836669411526,0.03940966140746448
G_orbital R,0.9827539186052857,0.9847557566818145,0.9582506378573956,0.9521641787043721,0.025574301719642825,0.015472961673565332,0.05034569505106339,0.03663445672681617
G_pariet_inf-Angular L,0.9363143669500669,0.9454276934670575,0.9015045273697152,0.8491141600799231,0.08832855985487308,0.06396876265489823,0.05870340900112954,0.09274027122509265
G_pariet_inf-Angular R,0.9359427527217324,0.9508047292945414,0.9098333949119534,0.8578991808661698,0.09403553384012338,0.05871775673371908,0.07937952888323417,0.08914147496211897
G_pariet_inf-Supramar L,0.9195751705565243,0.9158411607069951,0.8459458926983554,0.7975463302671764,0.11974556690599988,0.09261547565227735,0.09390146992512009,0.1313724157968014
G_pariet_inf-Supramar R,0.930522475145963,0.9322118625922104,0.9031464783342464,0.8253727606677208,0.10385762106909287,0.08706145514944223,0.06056120962914303,0.12025688421016044
G_parietal_sup L,0.9334328437222807,0.9443684935356285,0.9052881969903451,0.8380472560308975,0.10078989642930986,0.04532506165108264,0.07567566854833982,0.10468087931429029
G_parietal_sup R,0.9412314725194121,0.9410443732182135,0.9121931415646372,0.840029236735122,0.08519338517200935,0.06008053089773466,0.061625982874619005,0.10564647736659644
G_postcentral L,0.9262581106489359,0.9312515897047398,0.8582990986472315,0.82321306351276,0.10913942127886381,0.06215783374574427,0.10428675414771234,0.11036365180255349
G_postcentral R,0.9215919082546431,0.941869166242241,0.8643089978182688,0.8206817217017481,0.11015534612960481,0.06836812070661796,0.08341580950913478,0.11420317234890057
G_precentral L,0.9495851975671046,0.9355956232622149,0.9038926155269759,0.8697781567256431,0.07387881902066716,0.06941131167940472,0.07721298673717719,0.08367364573540498
G_precentral R,0.9446378015825605,0.9445512270791646,0.9116044293740045,0.8648108173717693,0.08211502671207517,0.07071732701387379,0.05507119984093233,0.08959700044174514
G_precuneus L,0.9401073487451491,0.9509167729712452,0.9088424059119153,0.8391539290638226,0.0906217807639961,0.05149147586391938,0.07112258406813192,0.1120000666807874
G_precuneus R,0.9374308108252783,0.9482386614953316,0.9105855670052355,0.837972488243993,0.0927865321846183,0.04125291706053327,0.05675935173233554,0.1068512889745205
G_rectus L,0.9837012571144883,0.9837442666414589,0.9673584174715898,0.9577098235625152,0.021604868358100396,0.01783527117211514,0.04186703900275991,0.033841571480533246
G_rectus R,0.9835391928939922,0.9840185299520684,0.9681938061035471,0.9592458478722923,0.0228306306116167,0.016230756026128723,0.036779108751921176,0.031048153543783225
G_subcallosal L,0.9758521700295281,0.978530317203555,0.9585163969159589,0.9373575563501612,0.03354607092908379,0.017998971211432853,0.03227020077452712,0.04090862720331305
G_subcallosal R,0.9753977455576104,0.9779404430983534,0.9594427877103942,0.9368398245394809,0.034837004715105827,0.02273342403348656,0.034056344989650024,0.04221328098193228
G_temp_sup-G_T_transv L,0.9593508691364001,0.9647253099851879,0.9240530025549015,0.8929678238717036,0.05851023607106315,0.03790969150997892,0.04887069668863193,0.06678528553875447
