gene,EntrezID,p_value,loading
CSTF2,1478,0.058,0.409462720155716
ATG4B,23192,0.018,0.409728288650513
CLASRP,0,0.095,0.409879803657532
AKAP6,9472,0.046,0.409887671470642
DIDO1,11083,0.08,0.409984916448593
C9orf3,84909,0.122,0.410109668970108
METTL15,0,0.26,0.410128444433212
INTS8,55656,0.12,0.410292088985443
RANBP17,64901,0.127,0.410301715135574
MIS18BP1,0,0.325,0.410323143005371
PLPP7,0,0.037,0.410536974668503
MFAP3,4238,0.019,0.410611420869827
ROPN1L,83853,0.064,0.410629272460938
URB2,9816,0.013,0.411199599504471
TMEM204,79652,0.025,0.411269932985306
INSM2,84684,0.119,0.411447882652283
DNAJC5G,285126,0.183,0.411686390638351
ADAMTS13,11093,0.169,0.411945134401321
ZNF598,90850,0.015,0.412013828754425
DGCR2,9993,0.007,0.412020057439804
PLAT,5327,0.037,0.412119358778
ANKRD33B,651746,0.123,0.412205755710602
CDK6,1021,0.016,0.41229259967804
ADCY1,107,0.026,0.41231581568718
PGD,5226,0.058,0.412643224000931
ZBTB26,57684,0.033,0.412782728672028
ANKRD20A9P,284232,0.201,0.413000702857971
DUSP4,1846,0.059,0.413131386041641
HACE1,57531,0.006,0.413158982992172
MFHAS1,9258,0.081,0.413465201854706
PIGL,9487,0.225,0.413523077964783
HIST4H4,121504,0.031,0.41356748342514
FBXO31,79791,0.048,0.41361078619957
TOP1P2,7152,0.199,0.413700848817825
TOB1-AS1,0,0.113,0.414164394140244
GABRA4,2557,0.003,0.414164662361145
ZNF503,84858,0.015,0.414200454950333
RAB40C,57799,0.018,0.414204984903336
WDFY3,23001,0.011,0.41425946354866
LSMEM1,0,0.023,0.414361983537674
MRRF,92399,0.055,0.414467543363571
RASSF4,83937,0.24,0.414608120918274
GPBP1L1,60313,0.048,0.414613664150238
RAB11FIP3,9727,0.079,0.414656639099121
ADSSL1,122622,0.044,0.415127217769623
ADRB1,153,0.212,0.41512793302536
REPS1,85021,0.107,0.415206968784332
KLHL24,54800,0.061,0.415278166532516
AFTPH,54812,0.068,0.41531977057457
ZZEF1,23140,0.23,0.415401339530945
