gene,EntrezID,p_value,loading
NRG1,3084,0.011,0.630937457084656
FGF9,2254,0.005,0.631388902664185
INA,9118,0.002,0.631447851657867
FLJ23867,200058,0.011,0.631605625152588
SEC14L5,9717,0.002,0.632118999958038
RAB3GAP2,25782,0.003,0.632182776927948
CAMKK2,10645,0.001,0.632565498352051
EPHB6,2051,0.011,0.632833540439606
GFRA2,2675,0.008,0.633249461650848
LRRC37A4P,55073,0.016,0.633591711521149
B4GALT6,9331,0.01,0.634079039096832
TOX2,0,0.001,0.634201467037201
ATP2B2,491,0.01,0.636423349380493
EIF5A2,56648,0.004,0.637376666069031
IMPAD1,54928,0.002,0.637480497360229
THAP10,56906,0.003,0.637843787670135
HSPB6,126393,0.001,0.638168931007385
RAB37,326624,0.01,0.638389348983765
OSTF1,26578,0.001,0.638776779174805
EPB41L3,23136,0.002,0.638860404491425
GPR158,57512,0.002,0.63886547088623
STAU2,27067,0.004,0.63894122838974
MCF2,4168,0.002,0.639494597911835
ONECUT2,9480,0.006,0.640263736248016
TCHH,7062,0.004,0.640429377555847
IPW,3653,0.017,0.640531718730927
FAM222B,0,0.002,0.642475664615631
PGBD4,161779,0.003,0.642613351345062
ACSL6,23305,0.013,0.643157422542572
ADAMTS5,11096,0.002,0.643340826034546
PIP4P2,0,0.003,0.643396437168121
ESRRA,2101,0.015,0.643400430679321
SKIDA1,0,0.006,0.643447399139404
GNAS,2778,0.007,0.643998384475708
DPH3,285381,0.003,0.644065320491791
MPP1,4354,0.004,0.644427299499512
CFL2,1073,0.005,0.64454174041748
ANK1,286,0.004,0.644640266895294
TMEM81,388730,0.003,0.644866347312927
CADPS2,93664,0.004,0.645087838172913
TUBA8,51807,0.001,0.645188271999359
ZYX,7791,0.003,0.645316958427429
TFAM,7019,0.005,0.64533931016922
DIRAS1,148252,0.005,0.645393371582031
SRSF8,10929,0.003,0.645776867866516
ATP1A4,480,0.005,0.646954298019409
FAM131B,9715,0.001,0.647157967090607
ST8SIA1,6489,0.003,0.648772060871124
ARHGAP26,23092,0.006,0.648908019065857
IDS,3423,0.002,0.649249494075775
ASB13,79754,0.002,0.649602949619293
ZBTB7A,51341,0.007,0.649630546569824
SORL1,6653,0.004,0.650103151798248
MYH7B,57644,0.003,0.65070116519928
TAF13,6884,0.005,0.651024341583252
DNAJC4,3338,0.004,0.651615977287292
WDR4,10785,0.002,0.652442991733551
HPS1,3257,0.029,0.652718186378479
SRXN1,0,0.002,0.652889549732208
SDSL,113675,0.007,0.653363704681396
STRN,6801,0.003,0.653962790966034
UBQLN4,56893,0.002,0.654018342494965
LGI3,203190,0.001,0.654189765453339
KCNB1,3745,0.003,0.654584765434265
KIF9,64147,0.002,0.654838919639587
DOK3,79930,0.011,0.655002772808075
ATP2B3,492,0.016,0.655037879943848
MTMR2,8898,0.003,0.655099511146545
CKMT1B,1159,0.003,0.655111253261566
PTPRD-AS1,0,0.01,0.655208766460419
STRBP,55342,0.005,0.655359625816345
GLIPR1,0,0.001,0.655819416046143
MAP9,79884,0.007,0.656037986278534
FASTKD5,60493,0.002,0.656211853027344
OXNAD1,92106,0.008,0.656801879405975
SLC25A5,292,0.002,0.656878471374512
SERPINB9,5272,0.003,0.657109677791595
DEXI,28955,0.006,0.657309591770172
TIGAR,0,0.012,0.657492220401764
TESC,54997,0.001,0.657888054847717
LYNX1,66004,0.002,0.658559143543243
TMEM132C,92293,0.002,0.658970892429352
NIPAL2,79815,0.006,0.659011781215668
PHYH,5264,0.013,0.659743130207062
MAD1L1,8379,0.003,0.660152971744537
TP53TG3D,0,0.001,0.660160064697266
CTIF,0,0.005,0.66141003370285
NUDT8,254552,0.005,0.661648988723755
MIR600HG,0,0.004,0.661843538284302
GSTT1,2952,0.004,0.662272095680237
ERRFI1,54206,0.002,0.662898182868958
PPARGC1A,10891,0.002,0.663753509521484
SAP30L,79685,0.002,0.66499787569046
LOC729737,0,0.002,0.665057480335236
ATRNL1,26033,0.001,0.665313184261322
RILP,83547,0.007,0.665758669376373
SCRT1,83482,0.003,0.666027426719666
SERTAD4,56256,0.002,0.666229605674744
RELL2,285613,0.003,0.666483998298645
FBXO33,254170,0.006,0.666783511638641
SLC20A2,6575,0.003,0.666991114616394
SERTAD4-AS1,0,0.003,0.666992902755737
GDPD1,284161,0.001,0.667235672473907
CHAF1A,10036,0.001,0.667858839035034
MYBPHL,343263,0.009,0.667877793312073
TCTEX1D1,200132,0.003,0.66873162984848
SLC24A2,25769,0.001,0.66977596282959
LYPD5,284348,0.004,0.671290397644043
PCDHB16,57717,0.002,0.671552956104279
STAR,6770,0.008,0.67167192697525
SYT2,127833,0.007,0.671821117401123
HAPLN4,404037,0.003,0.671921253204346
CAB39,51719,0.001,0.673514902591705
HR,55806,0.004,0.674037456512451
ADAM23,8745,0.003,0.674980938434601
LOC100286906,0,0.003,0.675184071063995
ADCY9,115,0.01,0.676877558231354
SCN1A,6323,0.003,0.677115499973297
CA13,377677,0.003,0.677354693412781
LUZP1,7798,0.003,0.677378237247467
LRRC75A,0,0.001,0.678330659866333
ECM1,1893,0.004,0.679513216018677
KCNJ14,3770,0.004,0.679539084434509
TRIM37,4591,0.003,0.680015683174133
KCNC3,3748,0.002,0.680020391941071
IDI2-AS1,0,0.003,0.680061817169189
RASGRP2,10235,0.001,0.68228018283844
RAB11FIP5,26056,0.002,0.682655155658722
CD99L2,83692,0.004,0.682758450508118
RALB,5899,0.017,0.682941913604736
GPAT3,0,0.002,0.683453381061554
RTKN2,219790,0.001,0.683867037296295
KLF12,11278,0.002,0.684904813766479
MAGEL2,54551,0.001,0.685593128204346
COX7A1,1346,0.014,0.686305403709412
PIM3,415116,0.003,0.686543166637421
CPLX1,10815,0.011,0.686801791191101
STAC2,342667,0.006,0.687316596508026
EML6,400954,0.001,0.687465369701385
CCDC25,55246,0.002,0.687494337558746
LAPTM4B,55353,0.001,0.687929332256317
SEMA7A,8482,0.003,0.688157796859741
NOS2,4843,0.001,0.689749896526337
BEND6,221336,0.005,0.689774096012115
PVALB,5816,0.001,0.690054595470428
NEFM,4741,0.002,0.691177129745483
DNAJC21,134218,0.002,0.691235423088074
ARHGAP9,64333,0.003,0.69174724817276
RHBDL3,162494,0.005,0.692088663578033
ALDH1A3,220,0.001,0.69235235452652
SCN4B,6330,0.005,0.694657981395721
KCNH6,81033,0.002,0.696496665477753
RIMKLA,284716,0.003,0.696833550930023
USP31,57478,0.002,0.69723516702652
SYT12,91683,0.003,0.698683619499207
C3orf18,51161,0.002,0.699408352375031
SLC16A6,9120,0.002,0.699472427368164
PRKCB,5579,0.001,0.702140033245087
RAD54B,25788,0.004,0.702345907688141
ESYT1,23344,0.001,0.702487111091614
KCTD9,54793,0.005,0.702793419361115
GCLM,2730,0.002,0.702850043773651
CABP1,9478,0.003,0.703794002532959
ELMO3,79767,0.001,0.70385468006134
ANXA6,309,0.001,0.707371354103088
ARHGEF17,9828,0.001,0.707515716552734
RRP12,23223,0.001,0.708253264427185
EIF4E2,9470,0.003,0.709346175193787
VAMP1,6843,0.003,0.710501670837402
KCNQ5,56479,0.001,0.710893034934998
EPN3,55040,0.001,0.711043894290924
NFIC,4782,0.003,0.711188793182373
EIF4E1B,253314,0.001,0.711410880088806
APOL2,23780,0.002,0.714989006519318
ZNF365,22891,0.001,0.71529883146286
KCNA1,3736,0.002,0.716313302516937
MYOZ3,91977,0.002,0.716574430465698
RHOBTB2,23221,0.002,0.717140734195709
MAPK10,5602,0.001,0.717191338539124
MROH5,0,0.002,0.717557847499847
PLXDC1,57125,0.001,0.718081176280975
XKR9,389668,0.001,0.718259811401367
PNKD,25953,0.001,0.718647718429565
PPTC7,160760,0.003,0.719787836074829
NAT8L,339983,0.002,0.720037817955017
COL6A1,1291,0.002,0.72050952911377
LRPAP1,4043,0.002,0.720764100551605
SYNDIG1,0,0.002,0.721216678619385
CCDC39,339829,0.002,0.721361756324768
PELI3,246330,0.001,0.722395241260529
KCNA3,3738,0.001,0.722899496555328
NEFH,4744,0.003,0.723662912845612
RNF157,114804,0.001,0.723678648471832
TPTE2P6,374491,0.001,0.724262535572052
SCN1B,6324,0.002,0.725735902786255
RFPL2,0,0.001,0.731117963790894
KCNC1,3746,0.002,0.732118546962738
MKX,283078,0.001,0.741753458976746
SHD,56961,0.002,0.744456112384796
FAM78A,286336,0.002,0.745342075824738
CELF2,0,0.002,0.746770679950714
KCNA2,3737,0.001,0.746841073036194
KCNS1,3787,0.001,0.760720014572144
SV2C,22987,0.002,0.779125034809113
ANO5,203859,0.001,0.786002397537231
