,values,TypeCorr,TwinType,FreqBand
211,0.995989916984534,Autocorr,DZ,BROADBAND
212,0.9966427321907112,Autocorr,NT,BROADBAND
213,0.9868089747027952,Crosscorr,MZ,BROADBAND
214,0.9842634689244714,Crosscorr,DZ,BROADBAND
215,0.9719567292156496,Crosscorr,NT,BROADBAND
216,0.7328442838742064,Autocorr,MZ,DELTA
217,0.9894929400002436,Autocorr,DZ,DELTA
218,0.9871661001073408,Autocorr,NT,DELTA
219,0.9715297703178636,Crosscorr,MZ,DELTA
220,0.9394053324785024,Crosscorr,DZ,DELTA
221,0.958164927572384,Crosscorr,NT,DELTA
222,0.339627686870752,Autocorr,MZ,THETA
223,0.9510181220204864,Autocorr,DZ,THETA
224,0.8789032252970179,Autocorr,NT,THETA
225,0.5681431745111525,Crosscorr,MZ,THETA
226,0.136599152171927,Crosscorr,DZ,THETA
227,-0.0383884170799771,Crosscorr,NT,THETA
228,0.7968685047677475,Autocorr,MZ,ALPHA
229,0.9662663565211548,Autocorr,DZ,ALPHA
230,0.8942622806351364,Autocorr,NT,ALPHA
231,0.932842477332234,Crosscorr,MZ,ALPHA
232,0.56971181793588,Crosscorr,DZ,ALPHA
233,0.4108098078222424,Crosscorr,NT,ALPHA
234,0.8337592753533207,Autocorr,MZ,BETA
235,0.9462578067360128,Autocorr,DZ,BETA
236,0.9424083117384348,Autocorr,NT,BETA
237,0.9229497435561098,Crosscorr,MZ,BETA
238,0.7380760414081597,Crosscorr,DZ,BETA
239,0.6276316874924449,Crosscorr,NT,BETA
240,0.7678433166086625,Autocorr,MZ,GAMMA
241,0.98117754550991,Autocorr,DZ,GAMMA
242,0.9789792067144304,Autocorr,NT,GAMMA
243,0.90555427781841,Crosscorr,MZ,GAMMA
244,0.9313258877332422,Crosscorr,DZ,GAMMA
245,0.850398193561333,Crosscorr,NT,GAMMA
246,0.8286271858199448,Autocorr,MZ,HIGH GAMMA
247,0.9663884967781806,Autocorr,DZ,HIGH GAMMA
248,0.9797130876292552,Autocorr,NT,HIGH GAMMA
249,0.93664718893364,Crosscorr,MZ,HIGH GAMMA
250,0.9550131266545848,Crosscorr,DZ,HIGH GAMMA
251,0.8831047965301586,Crosscorr,NT,HIGH GAMMA
252,0.9970244144925356,Autocorr,MZ,BROADBAND
253,0.9939195622855844,Autocorr,DZ,BROADBAND
254,0.9532763747861436,Autocorr,NT,BROADBAND
255,0.9928847490179296,Crosscorr,MZ,BROADBAND
256,0.9912982466593196,Crosscorr,DZ,BROADBAND
257,0.9826068789349428,Crosscorr,NT,BROADBAND
258,0.9918999701411304,Autocorr,MZ,DELTA
259,0.9646643053246904,Autocorr,DZ,DELTA
260,0.7280357619034399,Autocorr,NT,DELTA
261,0.9853280745150268,Crosscorr,MZ,DELTA
262,0.980458400014203,Crosscorr,DZ,DELTA
263,0.9516458257660998,Crosscorr,NT,DELTA
264,0.9444831439019116,Autocorr,MZ,THETA
265,0.7917923139647343,Autocorr,DZ,THETA
266,0.1570797412257223,Autocorr,NT,THETA
267,0.917701634805364,Crosscorr,MZ,THETA
